id,temperature,humidity,datetime,last_capture,paths
0,33.5,75.5,2020-01-28 14:00:06.737,2020-02-18 06:00:06,../../Color Samples Dataset/Green banana/0.jpg
0_15,33.5,75.5,2020-01-28 14:00:06.737,2020-02-18 06:00:06,../../Color Samples Dataset/Green banana/0_15.jpg
0_30,33.5,75.5,2020-01-28 14:00:06.737,2020-02-18 06:00:06,../../Color Samples Dataset/Green banana/0_30.jpg
0_45,33.5,75.5,2020-01-28 14:00:06.737,2020-02-18 06:00:06,../../Color Samples Dataset/Green banana/0_45.jpg
0_60,33.5,75.5,2020-01-28 14:00:06.737,2020-02-18 06:00:06,../../Color Samples Dataset/Green banana/0_60.jpg
0_75,33.5,75.5,2020-01-28 14:00:06.737,2020-02-18 06:00:06,../../Color Samples Dataset/Green banana/0_75.jpg
1,30.9,84.6,2020-01-28 18:00:06.213,2020-02-18 06:00:06,../../Color Samples Dataset/Green banana/1.jpg
1_15,30.9,84.6,2020-01-28 18:00:06.213,2020-02-18 06:00:06,../../Color Samples Dataset/Green banana/1_15.jpg
1_30,30.9,84.6,2020-01-28 18:00:06.213,2020-02-18 06:00:06,../../Color Samples Dataset/Green banana/1_30.jpg
1_45,30.9,84.6,2020-01-28 18:00:06.213,2020-02-18 06:00:06,../../Color Samples Dataset/Green banana/1_45.jpg
1_60,30.9,84.6,2020-01-28 18:00:06.213,2020-02-18 06:00:06,../../Color Samples Dataset/Green banana/1_60.jpg
1_75,30.9,84.6,2020-01-28 18:00:06.213,2020-02-18 06:00:06,../../Color Samples Dataset/Green banana/1_75.jpg
2,28.9,90.5,2020-01-29 00:00:06.108,2020-02-18 06:00:06,../../Color Samples Dataset/Green banana/2.jpg
2_15,28.9,90.5,2020-01-29 00:00:06.108,2020-02-18 06:00:06,../../Color Samples Dataset/Green banana/2_15.jpg
2_30,28.9,90.5,2020-01-29 00:00:06.108,2020-02-18 06:00:06,../../Color Samples Dataset/Green banana/2_30.jpg
2_45,28.9,90.5,2020-01-29 00:00:06.108,2020-02-18 06:00:06,../../Color Samples Dataset/Green banana/2_45.jpg
2_60,28.9,90.5,2020-01-29 00:00:06.108,2020-02-18 06:00:06,../../Color Samples Dataset/Green banana/2_60.jpg
2_75,28.9,90.5,2020-01-29 00:00:06.108,2020-02-18 06:00:06,../../Color Samples Dataset/Green banana/2_75.jpg
3,28.1,89,2020-01-29 06:00:06.422,2020-02-18 06:00:06,../../Color Samples Dataset/Green banana/3.jpg
3_15,28.1,89,2020-01-29 06:00:06.422,2020-02-18 06:00:06,../../Color Samples Dataset/Green banana/3_15.jpg
3_30,28.1,89,2020-01-29 06:00:06.422,2020-02-18 06:00:06,../../Color Samples Dataset/Green banana/3_30.jpg
3_45,28.1,89,2020-01-29 06:00:06.422,2020-02-18 06:00:06,../../Color Samples Dataset/Green banana/3_45.jpg
3_60,28.1,89,2020-01-29 06:00:06.422,2020-02-18 06:00:06,../../Color Samples Dataset/Green banana/3_60.jpg
3_75,28.1,89,2020-01-29 06:00:06.422,2020-02-18 06:00:06,../../Color Samples Dataset/Green banana/3_75.jpg
4,31,83.7,2020-01-29 12:00:06.432,2020-02-18 06:00:06,../../Color Samples Dataset/Green banana/4.jpg
4_15,31,83.7,2020-01-29 12:00:06.432,2020-02-18 06:00:06,../../Color Samples Dataset/Green banana/4_15.jpg
4_30,31,83.7,2020-01-29 12:00:06.432,2020-02-18 06:00:06,../../Color Samples Dataset/Green banana/4_30.jpg
4_45,31,83.7,2020-01-29 12:00:06.432,2020-02-18 06:00:06,../../Color Samples Dataset/Green banana/4_45.jpg
4_60,31,83.7,2020-01-29 12:00:06.432,2020-02-18 06:00:06,../../Color Samples Dataset/Green banana/4_60.jpg
4_75,31,83.7,2020-01-29 12:00:06.432,2020-02-18 06:00:06,../../Color Samples Dataset/Green banana/4_75.jpg
5,28.2,88.5,2020-01-30 00:00:06.678,2020-02-18 06:00:06,../../Color Samples Dataset/Green banana/5.jpg
5_15,28.2,88.5,2020-01-30 00:00:06.678,2020-02-18 06:00:06,../../Color Samples Dataset/Green banana/5_15.jpg
5_30,28.2,88.5,2020-01-30 00:00:06.678,2020-02-18 06:00:06,../../Color Samples Dataset/Green banana/5_30.jpg
5_45,28.2,88.5,2020-01-30 00:00:06.678,2020-02-18 06:00:06,../../Color Samples Dataset/Green banana/5_45.jpg
5_60,28.2,88.5,2020-01-30 00:00:06.678,2020-02-18 06:00:06,../../Color Samples Dataset/Green banana/5_60.jpg
5_75,28.2,88.5,2020-01-30 00:00:06.678,2020-02-18 06:00:06,../../Color Samples Dataset/Green banana/5_75.jpg
6,27.2,88.9,2020-01-30 06:00:06.210,2020-02-18 06:00:06,../../Color Samples Dataset/Green banana/6.jpg
6_15,27.2,88.9,2020-01-30 06:00:06.210,2020-02-18 06:00:06,../../Color Samples Dataset/Green banana/6_15.jpg
6_30,27.2,88.9,2020-01-30 06:00:06.210,2020-02-18 06:00:06,../../Color Samples Dataset/Green banana/6_30.jpg
6_45,27.2,88.9,2020-01-30 06:00:06.210,2020-02-18 06:00:06,../../Color Samples Dataset/Green banana/6_45.jpg
6_60,27.2,88.9,2020-01-30 06:00:06.210,2020-02-18 06:00:06,../../Color Samples Dataset/Green banana/6_60.jpg
6_75,27.2,88.9,2020-01-30 06:00:06.210,2020-02-18 06:00:06,../../Color Samples Dataset/Green banana/6_75.jpg
7,33,76.6,2020-01-30 12:00:06.306,2020-02-18 06:00:06,../../Color Samples Dataset/Green banana/7.jpg
7_15,33,76.6,2020-01-30 12:00:06.306,2020-02-18 06:00:06,../../Color Samples Dataset/Green banana/7_15.jpg
7_30,33,76.6,2020-01-30 12:00:06.306,2020-02-18 06:00:06,../../Color Samples Dataset/Green banana/7_30.jpg
7_45,33,76.6,2020-01-30 12:00:06.306,2020-02-18 06:00:06,../../Color Samples Dataset/Green banana/7_45.jpg
7_60,33,76.6,2020-01-30 12:00:06.306,2020-02-18 06:00:06,../../Color Samples Dataset/Green banana/7_60.jpg
7_75,33,76.6,2020-01-30 12:00:06.306,2020-02-18 06:00:06,../../Color Samples Dataset/Green banana/7_75.jpg
8,34.9,69.3,2020-01-30 14:00:06.031,2020-02-18 06:00:06,../../Color Samples Dataset/Green banana/8.jpg
8_15,34.9,69.3,2020-01-30 14:00:06.031,2020-02-18 06:00:06,../../Color Samples Dataset/Green banana/8_15.jpg
8_30,34.9,69.3,2020-01-30 14:00:06.031,2020-02-18 06:00:06,../../Color Samples Dataset/Green banana/8_30.jpg
8_45,34.9,69.3,2020-01-30 14:00:06.031,2020-02-18 06:00:06,../../Color Samples Dataset/Green banana/8_45.jpg
8_60,34.9,69.3,2020-01-30 14:00:06.031,2020-02-18 06:00:06,../../Color Samples Dataset/Green banana/8_60.jpg
8_75,34.9,69.3,2020-01-30 14:00:06.031,2020-02-18 06:00:06,../../Color Samples Dataset/Green banana/8_75.jpg
9,31.1,71.2,2020-01-30 18:00:06.275,2020-02-18 06:00:06,../../Color Samples Dataset/Green banana/9.jpg
9_15,31.1,71.2,2020-01-30 18:00:06.275,2020-02-18 06:00:06,../../Color Samples Dataset/Green banana/9_15.jpg
9_30,31.1,71.2,2020-01-30 18:00:06.275,2020-02-18 06:00:06,../../Color Samples Dataset/Green banana/9_30.jpg
9_45,31.1,71.2,2020-01-30 18:00:06.275,2020-02-18 06:00:06,../../Color Samples Dataset/Green banana/9_45.jpg
9_60,31.1,71.2,2020-01-30 18:00:06.275,2020-02-18 06:00:06,../../Color Samples Dataset/Green banana/9_60.jpg
9_75,31.1,71.2,2020-01-30 18:00:06.275,2020-02-18 06:00:06,../../Color Samples Dataset/Green banana/9_75.jpg
10,28.6,82.9,2020-01-31 00:00:07.670,2020-02-18 06:00:06,../../Color Samples Dataset/Green banana/10.jpg
10_15,28.6,82.9,2020-01-31 00:00:07.670,2020-02-18 06:00:06,../../Color Samples Dataset/Green banana/10_15.jpg
10_30,28.6,82.9,2020-01-31 00:00:07.670,2020-02-18 06:00:06,../../Color Samples Dataset/Green banana/10_30.jpg
10_45,28.6,82.9,2020-01-31 00:00:07.670,2020-02-18 06:00:06,../../Color Samples Dataset/Green banana/10_45.jpg
10_60,28.6,82.9,2020-01-31 00:00:07.670,2020-02-18 06:00:06,../../Color Samples Dataset/Green banana/10_60.jpg
10_75,28.6,82.9,2020-01-31 00:00:07.670,2020-02-18 06:00:06,../../Color Samples Dataset/Green banana/10_75.jpg
11,27.6,88.3,2020-01-31 06:00:06.284,2020-02-18 06:00:06,../../Color Samples Dataset/Green banana/11.jpg
