id,temperature,humidity,datetime,last_capture
0,33.5,75.5,2020-01-28 14:00:06.737,2020-02-14 18:00:06
0_15,33.5,75.5,2020-01-28 14:00:06.737,2020-02-14 18:00:06
0_30,33.5,75.5,2020-01-28 14:00:06.737,2020-02-14 18:00:06
0_45,33.5,75.5,2020-01-28 14:00:06.737,2020-02-14 18:00:06
0_60,33.5,75.5,2020-01-28 14:00:06.737,2020-02-14 18:00:06
0_75,33.5,75.5,2020-01-28 14:00:06.737,2020-02-14 18:00:06
1,30.9,84.6,2020-01-28 18:00:06.213,2020-02-14 18:00:06
1_15,30.9,84.6,2020-01-28 18:00:06.213,2020-02-14 18:00:06
1_30,30.9,84.6,2020-01-28 18:00:06.213,2020-02-14 18:00:06
1_45,30.9,84.6,2020-01-28 18:00:06.213,2020-02-14 18:00:06
1_60,30.9,84.6,2020-01-28 18:00:06.213,2020-02-14 18:00:06
1_75,30.9,84.6,2020-01-28 18:00:06.213,2020-02-14 18:00:06
2,28.9,90.5,2020-01-29 00:00:06.108,2020-02-14 18:00:06
2_15,28.9,90.5,2020-01-29 00:00:06.108,2020-02-14 18:00:06
2_30,28.9,90.5,2020-01-29 00:00:06.108,2020-02-14 18:00:06
2_45,28.9,90.5,2020-01-29 00:00:06.108,2020-02-14 18:00:06
2_60,28.9,90.5,2020-01-29 00:00:06.108,2020-02-14 18:00:06
2_75,28.9,90.5,2020-01-29 00:00:06.108,2020-02-14 18:00:06
3,28.1,89,2020-01-29 06:00:06.422,2020-02-14 18:00:06
3_15,28.1,89,2020-01-29 06:00:06.422,2020-02-14 18:00:06
3_30,28.1,89,2020-01-29 06:00:06.422,2020-02-14 18:00:06
3_45,28.1,89,2020-01-29 06:00:06.422,2020-02-14 18:00:06
3_60,28.1,89,2020-01-29 06:00:06.422,2020-02-14 18:00:06
3_75,28.1,89,2020-01-29 06:00:06.422,2020-02-14 18:00:06
4,31,83.7,2020-01-29 12:00:06.432,2020-02-14 18:00:06
4_15,31,83.7,2020-01-29 12:00:06.432,2020-02-14 18:00:06
4_30,31,83.7,2020-01-29 12:00:06.432,2020-02-14 18:00:06
4_45,31,83.7,2020-01-29 12:00:06.432,2020-02-14 18:00:06
4_60,31,83.7,2020-01-29 12:00:06.432,2020-02-14 18:00:06
4_75,31,83.7,2020-01-29 12:00:06.432,2020-02-14 18:00:06
5,28.2,88.5,2020-01-30 00:00:06.678,2020-02-14 18:00:06
5_15,28.2,88.5,2020-01-30 00:00:06.678,2020-02-14 18:00:06
5_30,28.2,88.5,2020-01-30 00:00:06.678,2020-02-14 18:00:06
5_45,28.2,88.5,2020-01-30 00:00:06.678,2020-02-14 18:00:06
5_60,28.2,88.5,2020-01-30 00:00:06.678,2020-02-14 18:00:06
5_75,28.2,88.5,2020-01-30 00:00:06.678,2020-02-14 18:00:06
6,27.2,88.9,2020-01-30 06:00:06.210,2020-02-14 18:00:06
6_15,27.2,88.9,2020-01-30 06:00:06.210,2020-02-14 18:00:06
6_30,27.2,88.9,2020-01-30 06:00:06.210,2020-02-14 18:00:06
6_45,27.2,88.9,2020-01-30 06:00:06.210,2020-02-14 18:00:06
6_60,27.2,88.9,2020-01-30 06:00:06.210,2020-02-14 18:00:06
6_75,27.2,88.9,2020-01-30 06:00:06.210,2020-02-14 18:00:06
7,33,76.6,2020-01-30 12:00:06.306,2020-02-14 18:00:06
7_15,33,76.6,2020-01-30 12:00:06.306,2020-02-14 18:00:06
7_30,33,76.6,2020-01-30 12:00:06.306,2020-02-14 18:00:06
7_45,33,76.6,2020-01-30 12:00:06.306,2020-02-14 18:00:06
7_60,33,76.6,2020-01-30 12:00:06.306,2020-02-14 18:00:06
7_75,33,76.6,2020-01-30 12:00:06.306,2020-02-14 18:00:06
8,34.9,69.3,2020-01-30 14:00:06.031,2020-02-14 18:00:06
8_15,34.9,69.3,2020-01-30 14:00:06.031,2020-02-14 18:00:06
8_30,34.9,69.3,2020-01-30 14:00:06.031,2020-02-14 18:00:06
8_45,34.9,69.3,2020-01-30 14:00:06.031,2020-02-14 18:00:06
8_60,34.9,69.3,2020-01-30 14:00:06.031,2020-02-14 18:00:06
8_75,34.9,69.3,2020-01-30 14:00:06.031,2020-02-14 18:00:06
9,31.1,71.2,2020-01-30 18:00:06.275,2020-02-14 18:00:06
9_15,31.1,71.2,2020-01-30 18:00:06.275,2020-02-14 18:00:06
9_30,31.1,71.2,2020-01-30 18:00:06.275,2020-02-14 18:00:06
9_45,31.1,71.2,2020-01-30 18:00:06.275,2020-02-14 18:00:06
9_60,31.1,71.2,2020-01-30 18:00:06.275,2020-02-14 18:00:06
9_75,31.1,71.2,2020-01-30 18:00:06.275,2020-02-14 18:00:06
10,28.6,82.9,2020-01-31 00:00:07.670,2020-02-14 18:00:06
