id,temperature,humidity,datetime,last_capture,class
0,33.5,75.5,2020-01-28 14:00:06.737,2020-02-18 06:00:06,1
0_15,33.5,75.5,2020-01-28 14:00:06.737,2020-02-18 06:00:06,1
0_30,33.5,75.5,2020-01-28 14:00:06.737,2020-02-18 06:00:06,1
0_45,33.5,75.5,2020-01-28 14:00:06.737,2020-02-18 06:00:06,1
0_60,33.5,75.5,2020-01-28 14:00:06.737,2020-02-18 06:00:06,1
0_75,33.5,75.5,2020-01-28 14:00:06.737,2020-02-18 06:00:06,1
1,30.9,84.6,2020-01-28 18:00:06.213,2020-02-18 06:00:06,1
1_15,30.9,84.6,2020-01-28 18:00:06.213,2020-02-18 06:00:06,1
1_30,30.9,84.6,2020-01-28 18:00:06.213,2020-02-18 06:00:06,1
1_45,30.9,84.6,2020-01-28 18:00:06.213,2020-02-18 06:00:06,1
1_60,30.9,84.6,2020-01-28 18:00:06.213,2020-02-18 06:00:06,1
1_75,30.9,84.6,2020-01-28 18:00:06.213,2020-02-18 06:00:06,1
2,28.9,90.5,2020-01-29 00:00:06.108,2020-02-18 06:00:06,5
2_15,28.9,90.5,2020-01-29 00:00:06.108,2020-02-18 06:00:06,5
2_30,28.9,90.5,2020-01-29 00:00:06.108,2020-02-18 06:00:06,5
2_45,28.9,90.5,2020-01-29 00:00:06.108,2020-02-18 06:00:06,5
2_60,28.9,90.5,2020-01-29 00:00:06.108,2020-02-18 06:00:06,5
2_75,28.9,90.5,2020-01-29 00:00:06.108,2020-02-18 06:00:06,5
3,28.1,89,2020-01-29 06:00:06.422,2020-02-18 06:00:06,1
3_15,28.1,89,2020-01-29 06:00:06.422,2020-02-18 06:00:06,1
3_30,28.1,89,2020-01-29 06:00:06.422,2020-02-18 06:00:06,1
3_45,28.1,89,2020-01-29 06:00:06.422,2020-02-18 06:00:06,1
3_60,28.1,89,2020-01-29 06:00:06.422,2020-02-18 06:00:06,1
3_75,28.1,89,2020-01-29 06:00:06.422,2020-02-18 06:00:06,1
4,31,83.7,2020-01-29 12:00:06.432,2020-02-18 06:00:06,0
4_15,31,83.7,2020-01-29 12:00:06.432,2020-02-18 06:00:06,0
4_30,31,83.7,2020-01-29 12:00:06.432,2020-02-18 06:00:06,0
4_45,31,83.7,2020-01-29 12:00:06.432,2020-02-18 06:00:06,0
4_60,31,83.7,2020-01-29 12:00:06.432,2020-02-18 06:00:06,0
4_75,31,83.7,2020-01-29 12:00:06.432,2020-02-18 06:00:06,0
5,28.2,88.5,2020-01-30 00:00:06.678,2020-02-18 06:00:06,0
5_15,28.2,88.5,2020-01-30 00:00:06.678,2020-02-18 06:00:06,0
5_30,28.2,88.5,2020-01-30 00:00:06.678,2020-02-18 06:00:06,0
5_45,28.2,88.5,2020-01-30 00:00:06.678,2020-02-18 06:00:06,0
5_60,28.2,88.5,2020-01-30 00:00:06.678,2020-02-18 06:00:06,0
5_75,28.2,88.5,2020-01-30 00:00:06.678,2020-02-18 06:00:06,0
6,27.2,88.9,2020-01-30 06:00:06.210,2020-02-18 06:00:06,5
6_15,27.2,88.9,2020-01-30 06:00:06.210,2020-02-18 06:00:06,5
6_30,27.2,88.9,2020-01-30 06:00:06.210,2020-02-18 06:00:06,5
6_45,27.2,88.9,2020-01-30 06:00:06.210,2020-02-18 06:00:06,5
6_60,27.2,88.9,2020-01-30 06:00:06.210,2020-02-18 06:00:06,5
6_75,27.2,88.9,2020-01-30 06:00:06.210,2020-02-18 06:00:06,5
7,33,76.6,2020-01-30 12:00:06.306,2020-02-18 06:00:06,0
