id,temperature,humidity,datetime
0,28.7,83.8,2020-09-17 06:00:06
1,32.4,74,2020-09-17 12:00:06
2,34.9,63.9,2020-09-17 14:00:06
3,31.4,72,2020-09-17 18:00:06
4,29,79.8,2020-09-18 00:00:06
5,28.3,81.2,2020-09-18 06:00:06
6,30.5,73.1,2020-09-18 18:00:06
7,29.2,80.5,2020-09-19 00:00:06
8,28.2,83,2020-09-19 06:00:06
9,34.1,71.4,2020-09-19 12:00:06
10,36.6,64.4,2020-09-19 14:00:06
11,31.3,72.8,2020-09-19 18:00:06
12,29.4,79,2020-09-20 00:00:06
13,0,0,2020-09-20 06:00:03
14,0,0,2020-09-20 12:00:08
15,29.7,79,2020-09-20 14:00:19
16,0,0,2020-09-20 18:00:04
17,28.2,83.6,2020-09-21 00:00:06
18,27.6,84.3,2020-09-21 06:00:06
19,33.7,68.6,2020-09-21 12:00:06
20,31.1,71.8,2020-09-21 14:00:06
21,28.3,82.5,2020-09-21 18:00:06
22,28.2,84.3,2020-09-22 00:00:06
23,27.4,87.1,2020-09-22 06:00:06
24,30.3,82.9,2020-09-22 12:00:06
25,30.7,81.3,2020-09-22 14:00:07
26,28.5,85.7,2020-09-22 18:00:07
27,27.7,85.3,2020-09-23 00:00:06
28,26.6,87.9,2020-09-23 06:00:06
29,34.2,71.9,2020-09-23 12:00:06
30,32.3,75.6,2020-09-23 14:00:06
31,29.7,78.2,2020-09-23 18:00:09
32,28.2,85.7,2020-09-24 00:00:06
33,27.9,86.2,2020-09-24 06:00:06
34,27.7,87.9,2020-09-24 12:00:06
35,27.9,87.3,2020-09-24 14:00:06
36,27.9,88.4,2020-09-24 18:00:06
37,26.3,90.4,2020-09-25 00:00:11
38,0,0,2020-09-25 06:00:03
39,35,74,2020-09-26 12:00:06
40,0,0,2020-09-26 14:00:06
41,29.2,77.4,2020-09-26 18:00:06
42,28.9,82.8,2020-09-27 00:00:06
43,27.1,86.5,2020-09-27 06:00:06
44,26.4,85.2,2020-09-28 00:00:06
45,26,87.6,2020-09-28 06:00:06
46,31.7,78,2020-09-28 12:00:06
47,28.1,80.5,2020-09-28 14:00:06
48,28.7,81.1,2020-09-28 18:00:06
49,27,85.4,2020-09-29 00:00:16
50,26.1,89.4,2020-09-29 06:00:06
51,32.4,76,2020-09-29 12:00:06
52,29.4,81.8,2020-09-29 14:00:10
53,29.6,80.1,2020-09-29 18:00:06
54,27.8,88.1,2020-09-30 00:00:11
55,27.1,88.8,2020-09-30 06:00:06
56,27.9,85.6,2020-09-30 12:00:08
57,28.6,86.9,2020-09-30 14:00:06
58,27.2,87.6,2020-09-30 18:00:06
