,Unnamed: 0,id,temperature,humidity,datetime,last_capture,paths,class
0,0,0,33.5,75.5,2020-01-28 14:00:06.737,2020-02-18 06:00:06,../../Color Samples Dataset/Green banana/0.jpg,0
1,1,0_15,33.5,75.5,2020-01-28 14:00:06.737,2020-02-18 06:00:06,../../Color Samples Dataset/Green banana/0_15.jpg,3
2,2,0_30,33.5,75.5,2020-01-28 14:00:06.737,2020-02-18 06:00:06,../../Color Samples Dataset/Green banana/0_30.jpg,2
3,3,0_45,33.5,75.5,2020-01-28 14:00:06.737,2020-02-18 06:00:06,../../Color Samples Dataset/Green banana/0_45.jpg,0
4,4,0_60,33.5,75.5,2020-01-28 14:00:06.737,2020-02-18 06:00:06,../../Color Samples Dataset/Green banana/0_60.jpg,2
5,5,0_75,33.5,75.5,2020-01-28 14:00:06.737,2020-02-18 06:00:06,../../Color Samples Dataset/Green banana/0_75.jpg,0
6,6,1,30.9,84.6,2020-01-28 18:00:06.213,2020-02-18 06:00:06,../../Color Samples Dataset/Green banana/1.jpg,4
7,7,1_15,30.9,84.6,2020-01-28 18:00:06.213,2020-02-18 06:00:06,../../Color Samples Dataset/Green banana/1_15.jpg,0
8,8,1_30,30.9,84.6,2020-01-28 18:00:06.213,2020-02-18 06:00:06,../../Color Samples Dataset/Green banana/1_30.jpg,3
9,9,1_45,30.9,84.6,2020-01-28 18:00:06.213,2020-02-18 06:00:06,../../Color Samples Dataset/Green banana/1_45.jpg,4
10,10,1_60,30.9,84.6,2020-01-28 18:00:06.213,2020-02-18 06:00:06,../../Color Samples Dataset/Green banana/1_60.jpg,1
11,11,1_75,30.9,84.6,2020-01-28 18:00:06.213,2020-02-18 06:00:06,../../Color Samples Dataset/Green banana/1_75.jpg,0
12,12,2,28.9,90.5,2020-01-29 00:00:06.108,2020-02-18 06:00:06,../../Color Samples Dataset/Green banana/2.jpg,1
13,13,2_15,28.9,90.5,2020-01-29 00:00:06.108,2020-02-18 06:00:06,../../Color Samples Dataset/Green banana/2_15.jpg,2
14,14,2_30,28.9,90.5,2020-01-29 00:00:06.108,2020-02-18 06:00:06,../../Color Samples Dataset/Green banana/2_30.jpg,3
15,15,2_45,28.9,90.5,2020-01-29 00:00:06.108,2020-02-18 06:00:06,../../Color Samples Dataset/Green banana/2_45.jpg,1
16,16,2_60,28.9,90.5,2020-01-29 00:00:06.108,2020-02-18 06:00:06,../../Color Samples Dataset/Green banana/2_60.jpg,4
17,17,2_75,28.9,90.5,2020-01-29 00:00:06.108,2020-02-18 06:00:06,../../Color Samples Dataset/Green banana/2_75.jpg,1
18,18,3,28.1,89.0,2020-01-29 06:00:06.422,2020-02-18 06:00:06,../../Color Samples Dataset/Green banana/3.jpg,4
19,19,3_15,28.1,89.0,2020-01-29 06:00:06.422,2020-02-18 06:00:06,../../Color Samples Dataset/Green banana/3_15.jpg,0
20,20,3_30,28.1,89.0,2020-01-29 06:00:06.422,2020-02-18 06:00:06,../../Color Samples Dataset/Green banana/3_30.jpg,3
21,21,3_45,28.1,89.0,2020-01-29 06:00:06.422,2020-02-18 06:00:06,../../Color Samples Dataset/Green banana/3_45.jpg,3
