,id,temperature,humidity,datetime,last_capture,paths,class
0,0,33.5,75.5,2020-01-28 14:00:06.737,2020-02-18 06:00:06,../Color Samples Dataset/Green banana/0.jpg,4
1,0_15,33.5,75.5,2020-01-28 14:00:06.737,2020-02-18 06:00:06,../Color Samples Dataset/Green banana/0_15.jpg,2
2,0_30,33.5,75.5,2020-01-28 14:00:06.737,2020-02-18 06:00:06,../Color Samples Dataset/Green banana/0_30.jpg,0
3,0_45,33.5,75.5,2020-01-28 14:00:06.737,2020-02-18 06:00:06,../Color Samples Dataset/Green banana/0_45.jpg,1
4,0_60,33.5,75.5,2020-01-28 14:00:06.737,2020-02-18 06:00:06,../Color Samples Dataset/Green banana/0_60.jpg,2
5,0_75,33.5,75.5,2020-01-28 14:00:06.737,2020-02-18 06:00:06,../Color Samples Dataset/Green banana/0_75.jpg,2
6,1,30.9,84.6,2020-01-28 18:00:06.213,2020-02-18 06:00:06,../Color Samples Dataset/Green banana/1.jpg,1
7,1_15,30.9,84.6,2020-01-28 18:00:06.213,2020-02-18 06:00:06,../Color Samples Dataset/Green banana/1_15.jpg,4
8,1_30,30.9,84.6,2020-01-28 18:00:06.213,2020-02-18 06:00:06,../Color Samples Dataset/Green banana/1_30.jpg,0
9,1_45,30.9,84.6,2020-01-28 18:00:06.213,2020-02-18 06:00:06,../Color Samples Dataset/Green banana/1_45.jpg,2
10,1_60,30.9,84.6,2020-01-28 18:00:06.213,2020-02-18 06:00:06,../Color Samples Dataset/Green banana/1_60.jpg,3
11,1_75,30.9,84.6,2020-01-28 18:00:06.213,2020-02-18 06:00:06,../Color Samples Dataset/Green banana/1_75.jpg,0
12,2,28.9,90.5,2020-01-29 00:00:06.108,2020-02-18 06:00:06,../Color Samples Dataset/Green banana/2.jpg,0
13,2_15,28.9,90.5,2020-01-29 00:00:06.108,2020-02-18 06:00:06,../Color Samples Dataset/Green banana/2_15.jpg,3
14,2_30,28.9,90.5,2020-01-29 00:00:06.108,2020-02-18 06:00:06,../Color Samples Dataset/Green banana/2_30.jpg,1
15,2_45,28.9,90.5,2020-01-29 00:00:06.108,2020-02-18 06:00:06,../Color Samples Dataset/Green banana/2_45.jpg,0
16,2_60,28.9,90.5,2020-01-29 00:00:06.108,2020-02-18 06:00:06,../Color Samples Dataset/Green banana/2_60.jpg,3
17,2_75,28.9,90.5,2020-01-29 00:00:06.108,2020-02-18 06:00:06,../Color Samples Dataset/Green banana/2_75.jpg,0
18,3,28.1,89.0,2020-01-29 06:00:06.422,2020-02-18 06:00:06,../Color Samples Dataset/Green banana/3.jpg,1
19,3_15,28.1,89.0,2020-01-29 06:00:06.422,2020-02-18 06:00:06,../Color Samples Dataset/Green banana/3_15.jpg,0
20,3_30,28.1,89.0,2020-01-29 06:00:06.422,2020-02-18 06:00:06,../Color Samples Dataset/Green banana/3_30.jpg,2
21,3_45,28.1,89.0,2020-01-29 06:00:06.422,2020-02-18 06:00:06,../Color Samples Dataset/Green banana/3_45.jpg,4
22,3_60,28.1,89.0,2020-01-29 06:00:06.422,2020-02-18 06:00:06,../Color Samples Dataset/Green banana/3_60.jpg,0
23,3_75,28.1,89.0,2020-01-29 06:00:06.422,2020-02-18 06:00:06,../Color Samples Dataset/Green banana/3_75.jpg,2
24,4,31.0,83.7,2020-01-29 12:00:06.432,2020-02-18 06:00:06,../Color Samples Dataset/Green banana/4.jpg,3
25,4_15,31.0,83.7,2020-01-29 12:00:06.432,2020-02-18 06:00:06,../Color Samples Dataset/Green banana/4_15.jpg,0
26,4_30,31.0,83.7,2020-01-29 12:00:06.432,2020-02-18 06:00:06,../Color Samples Dataset/Green banana/4_30.jpg,4
27,4_45,31.0,83.7,2020-01-29 12:00:06.432,2020-02-18 06:00:06,../Color Samples Dataset/Green banana/4_45.jpg,0
28,4_60,31.0,83.7,2020-01-29 12:00:06.432,2020-02-18 06:00:06,../Color Samples Dataset/Green banana/4_60.jpg,0
29,4_75,31.0,83.7,2020-01-29 12:00:06.432,2020-02-18 06:00:06,../Color Samples Dataset/Green banana/4_75.jpg,2
30,5,28.2,88.5,2020-01-30 00:00:06.678,2020-02-18 06:00:06,../Color Samples Dataset/Green banana/5.jpg,1
31,5_15,28.2,88.5,2020-01-30 00:00:06.678,2020-02-18 06:00:06,../Color Samples Dataset/Green banana/5_15.jpg,3
32,5_30,28.2,88.5,2020-01-30 00:00:06.678,2020-02-18 06:00:06,../Color Samples Dataset/Green banana/5_30.jpg,4
33,5_45,28.2,88.5,2020-01-30 00:00:06.678,2020-02-18 06:00:06,../Color Samples Dataset/Green banana/5_45.jpg,1
34,5_60,28.2,88.5,2020-01-30 00:00:06.678,2020-02-18 06:00:06,../Color Samples Dataset/Green banana/5_60.jpg,0
35,5_75,28.2,88.5,2020-01-30 00:00:06.678,2020-02-18 06:00:06,../Color Samples Dataset/Green banana/5_75.jpg,3
36,6,27.2,88.9,2020-01-30 06:00:06.210,2020-02-18 06:00:06,../Color Samples Dataset/Green banana/6.jpg,0
37,6_15,27.2,88.9,2020-01-30 06:00:06.210,2020-02-18 06:00:06,../Color Samples Dataset/Green banana/6_15.jpg,0
38,6_30,27.2,88.9,2020-01-30 06:00:06.210,2020-02-18 06:00:06,../Color Samples Dataset/Green banana/6_30.jpg,3
39,6_45,27.2,88.9,2020-01-30 06:00:06.210,2020-02-18 06:00:06,../Color Samples Dataset/Green banana/6_45.jpg,3
40,6_60,27.2,88.9,2020-01-30 06:00:06.210,2020-02-18 06:00:06,../Color Samples Dataset/Green banana/6_60.jpg,4
41,6_75,27.2,88.9,2020-01-30 06:00:06.210,2020-02-18 06:00:06,../Color Samples Dataset/Green banana/6_75.jpg,0
42,7,33.0,76.6,2020-01-30 12:00:06.306,2020-02-18 06:00:06,../Color Samples Dataset/Green banana/7.jpg,2
43,7_15,33.0,76.6,2020-01-30 12:00:06.306,2020-02-18 06:00:06,../Color Samples Dataset/Green banana/7_15.jpg,1
44,7_30,33.0,76.6,2020-01-30 12:00:06.306,2020-02-18 06:00:06,../Color Samples Dataset/Green banana/7_30.jpg,3
45,7_45,33.0,76.6,2020-01-30 12:00:06.306,2020-02-18 06:00:06,../Color Samples Dataset/Green banana/7_45.jpg,1
46,7_60,33.0,76.6,2020-01-30 12:00:06.306,2020-02-18 06:00:06,../Color Samples Dataset/Green banana/7_60.jpg,0
47,7_75,33.0,76.6,2020-01-30 12:00:06.306,2020-02-18 06:00:06,../Color Samples Dataset/Green banana/7_75.jpg,2
48,8,34.9,69.3,2020-01-30 14:00:06.031,2020-02-18 06:00:06,../Color Samples Dataset/Green banana/8.jpg,0
49,8_15,34.9,69.3,2020-01-30 14:00:06.031,2020-02-18 06:00:06,../Color Samples Dataset/Green banana/8_15.jpg,2
50,8_30,34.9,69.3,2020-01-30 14:00:06.031,2020-02-18 06:00:06,../Color Samples Dataset/Green banana/8_30.jpg,2
51,8_45,34.9,69.3,2020-01-30 14:00:06.031,2020-02-18 06:00:06,../Color Samples Dataset/Green banana/8_45.jpg,1
52,8_60,34.9,69.3,2020-01-30 14:00:06.031,2020-02-18 06:00:06,../Color Samples Dataset/Green banana/8_60.jpg,1
53,8_75,34.9,69.3,2020-01-30 14:00:06.031,2020-02-18 06:00:06,../Color Samples Dataset/Green banana/8_75.jpg,3
54,9,31.1,71.2,2020-01-30 18:00:06.275,2020-02-18 06:00:06,../Color Samples Dataset/Green banana/9.jpg,3
55,9_15,31.1,71.2,2020-01-30 18:00:06.275,2020-02-18 06:00:06,../Color Samples Dataset/Green banana/9_15.jpg,3
56,9_30,31.1,71.2,2020-01-30 18:00:06.275,2020-02-18 06:00:06,../Color Samples Dataset/Green banana/9_30.jpg,4
57,9_45,31.1,71.2,2020-01-30 18:00:06.275,2020-02-18 06:00:06,../Color Samples Dataset/Green banana/9_45.jpg,0
58,9_60,31.1,71.2,2020-01-30 18:00:06.275,2020-02-18 06:00:06,../Color Samples Dataset/Green banana/9_60.jpg,4
59,9_75,31.1,71.2,2020-01-30 18:00:06.275,2020-02-18 06:00:06,../Color Samples Dataset/Green banana/9_75.jpg,2
60,10,28.6,82.9,2020-01-31 00:00:07.670,2020-02-18 06:00:06,../Color Samples Dataset/Green banana/10.jpg,3
61,10_15,28.6,82.9,2020-01-31 00:00:07.670,2020-02-18 06:00:06,../Color Samples Dataset/Green banana/10_15.jpg,2
62,10_30,28.6,82.9,2020-01-31 00:00:07.670,2020-02-18 06:00:06,../Color Samples Dataset/Green banana/10_30.jpg,3
63,10_45,28.6,82.9,2020-01-31 00:00:07.670,2020-02-18 06:00:06,../Color Samples Dataset/Green banana/10_45.jpg,4
64,10_60,28.6,82.9,2020-01-31 00:00:07.670,2020-02-18 06:00:06,../Color Samples Dataset/Green banana/10_60.jpg,1
65,10_75,28.6,82.9,2020-01-31 00:00:07.670,2020-02-18 06:00:06,../Color Samples Dataset/Green banana/10_75.jpg,2
66,11,27.6,88.3,2020-01-31 06:00:06.284,2020-02-18 06:00:06,../Color Samples Dataset/Green banana/11.jpg,4
67,11_15,27.6,88.3,2020-01-31 06:00:06.284,2020-02-18 06:00:06,../Color Samples Dataset/Green banana/11_15.jpg,4
68,11_30,27.6,88.3,2020-01-31 06:00:06.284,2020-02-18 06:00:06,../Color Samples Dataset/Green banana/11_30.jpg,2
69,11_45,27.6,88.3,2020-01-31 06:00:06.284,2020-02-18 06:00:06,../Color Samples Dataset/Green banana/11_45.jpg,0
70,11_60,27.6,88.3,2020-01-31 06:00:06.284,2020-02-18 06:00:06,../Color Samples Dataset/Green banana/11_60.jpg,3
71,11_75,27.6,88.3,2020-01-31 06:00:06.284,2020-02-18 06:00:06,../Color Samples Dataset/Green banana/11_75.jpg,1
72,12,33.8,75.4,2020-01-31 12:00:06.394,2020-02-18 06:00:06,../Color Samples Dataset/Green banana/12.jpg,3
73,12_15,33.8,75.4,2020-01-31 12:00:06.394,2020-02-18 06:00:06,../Color Samples Dataset/Green banana/12_15.jpg,3
74,12_30,33.8,75.4,2020-01-31 12:00:06.394,2020-02-18 06:00:06,../Color Samples Dataset/Green banana/12_30.jpg,3
75,12_45,33.8,75.4,2020-01-31 12:00:06.394,2020-02-18 06:00:06,../Color Samples Dataset/Green banana/12_45.jpg,3
76,12_60,33.8,75.4,2020-01-31 12:00:06,2020-02-18 06:00:06,../Color Samples Dataset/Green banana/12_60.jpg,2
77,12_75,33.8,75.4,2020-01-31 12:00:06,2020-02-18 06:00:06,../Color Samples Dataset/Green banana/12_75.jpg,2
78,13,33.0,70.7,2020-01-31 14:00:07,2020-02-18 06:00:06,../Color Samples Dataset/Green banana/13.jpg,3
79,13_15,33.0,70.7,2020-01-31 14:00:07,2020-02-18 06:00:06,../Color Samples Dataset/Green banana/13_15.jpg,1
80,13_30,33.0,70.7,2020-01-31 14:00:07,2020-02-18 06:00:06,../Color Samples Dataset/Green banana/13_30.jpg,3
81,13_45,33.0,70.7,2020-01-31 14:00:07,2020-02-18 06:00:06,../Color Samples Dataset/Green banana/13_45.jpg,2
82,13_60,33.0,70.7,2020-01-31 14:00:07,2020-02-18 06:00:06,../Color Samples Dataset/Green banana/13_60.jpg,0
83,13_75,33.0,70.7,2020-01-31 14:00:07,2020-02-18 06:00:06,../Color Samples Dataset/Green banana/13_75.jpg,1
84,14,30.9,71.9,2020-01-31 18:00:06,2020-02-18 06:00:06,../Color Samples Dataset/Green banana/14.jpg,3
85,14_15,30.9,71.9,2020-01-31 18:00:06,2020-02-18 06:00:06,../Color Samples Dataset/Green banana/14_15.jpg,2
86,14_30,30.9,71.9,2020-01-31 18:00:06,2020-02-18 06:00:06,../Color Samples Dataset/Green banana/14_30.jpg,0
87,14_45,30.9,71.9,2020-01-31 18:00:06,2020-02-18 06:00:06,../Color Samples Dataset/Green banana/14_45.jpg,2
